brand,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,clearance-volume-per-cylinder
alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.1,48.80,2548,dohc,4.0,130.0,mpfi,3.4699999999999998,3.4366438724591015,9.0,111,5000,21,27,13495,0.0
alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.1,48.80,2548,dohc,4.0,130.0,mpfi,3.4699999999999998,3.4366438724591015,9.0,111,5000,21,27,16500,0.0
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6.0,152.0,mpfi,3.048853037042996,3.4699999999999998,9.0,154,5000,19,26,16500,-4.736951571734001e-15
audi,gas,std,four,sedan,fwd,front,99.80,176.60,66.2,54.3,2337,ohc,4.0,109.0,mpfi,3.19,3.4,10.0,102,5500,24,30,13950,0.07621314813417257
audi,gas,std,four,sedan,4wd,front,99.4,176.60,66.4,54.3,2824,ohc,5.0,136.0,mpfi,3.19,3.4,8.0,115,5500,18,22,17450,0.026213148134166885
audi,gas,std,two,sedan,fwd,front,99.80,177.3,66.3,53.1,2507,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,0.026213148134166885
audi,gas,std,four,sedan,fwd,front,105.80,192.70,71.4,55.70,2844,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,0.026213148134166885
audi,gas,std,four,wagon,fwd,front,105.80,192.70,71.4,55.70,2954,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,0.026213148134166885
audi,gas,turbo,four,sedan,fwd,front,105.80,192.70,71.4,55.90,3086,ohc,5.0,131.0,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,0.038811292239239494
bmw,gas,std,two,sedan,rwd,front,101.2,176.80,64.80,54.3,2395,ohc,4.0,108.0,mpfi,3.5,2.806323894518318,5.46875,101,5800,23,29,16430,0.0
bmw,gas,std,four,sedan,rwd,front,101.2,176.80,64.80,54.3,2395,ohc,4.0,108.0,mpfi,3.5,2.806323894518318,5.46875,101,5800,23,29,16925,0.0
bmw,gas,std,two,sedan,rwd,front,101.2,176.80,64.80,54.3,2710,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,21,28,20970,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,101.2,176.80,64.80,54.3,2765,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,21,28,21105,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.90,55.70,3055,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,20,25,24565,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.90,55.70,3230,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,16,22,30760,-4.736951571734001e-15
bmw,gas,std,two,sedan,rwd,front,103.5,193.80,67.90,53.70,3380,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,16,22,41315,-4.736951571734001e-15
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.90,56.3,3505,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,15,20,36880,-4.736951571734001e-15
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3.0,61.0,2bbl,2.923062054481632,3.03,9.5,48,5100,47,53,5151,-2.3684757858670005e-15
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.90,63.60,52.0,1874,ohc,4.0,90.0,2bbl,3.03,3.11,4.734375,70,5400,38,43,6295,0.07484118517618299
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.80,63.60,52.0,1909,ohc,4.0,90.0,2bbl,3.03,3.11,4.734375,70,5400,38,43,6575,0.07484118517618299
dodge,gas,std,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,1876,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.41,68,5500,37,41,5572,0.0
dodge,gas,std,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,1876,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.4,68,5500,31,38,6377,0.0
dodge,gas,turbo,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,2128,ohc,4.0,98.0,mpfi,3.03,3.39,4.734375,102,5500,24,30,7957,0.05585582564220459
dodge,gas,std,four,hatchback,fwd,front,93.70,157.3,63.80,50.60,1967,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.4,68,5500,31,38,6229,0.0
dodge,gas,std,four,sedan,fwd,front,93.70,157.3,63.80,50.60,1989,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.4,68,5500,31,38,6692,0.0
dodge,gas,std,four,sedan,fwd,front,93.70,157.3,63.80,50.60,1989,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.4,68,5500,31,38,7609,0.0
dodge,gas,std,four,wagon,fwd,front,103.3,174.60,64.60,59.80,2535,ohc,4.0,122.0,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,0.18490637947585498
dodge,gas,turbo,two,hatchback,fwd,front,95.90,173.2,66.3,50.2,2811,ohc,4.0,156.0,mfi,0.166666667,0.1875,7.0,145,5000,19,24,12964,38.99590938454928
honda,gas,std,two,hatchback,fwd,front,86.60,144.60,63.90,50.80,1713,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,4.578906904864964,58,4800,49,54,6479,0.0
honda,gas,std,two,hatchback,fwd,front,86.60,144.60,63.90,50.80,1819,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,9.2,76,6000,31,38,6855,0.0
honda,gas,std,two,hatchback,fwd,front,93.70,150.0,64.0,52.60,1837,ohc,4.0,79.0,1bbl,2.8619986301755738,3.07,10.1,60,5500,38,42,5399,3.552713678800501e-15
honda,gas,std,two,hatchback,fwd,front,93.70,150.0,64.0,52.60,1940,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,9.2,76,6000,30,34,6529,0.0
honda,gas,std,two,hatchback,fwd,front,93.70,150.0,64.0,52.60,1956,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,9.2,76,6000,30,34,7129,0.0
honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,9.2,76,6000,30,34,7295,0.0
honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.90,58.3,2024,ohc,4.0,92.0,1bbl,2.930500419113577,3.41,9.2,76,6000,30,34,7295,0.0
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,86,5800,27,33,7895,-0.3993455291940258
honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,86,5800,27,33,9095,-0.3993455291940258
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,86,5800,27,33,8845,-0.3993455291940258
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4.0,110.0,1bbl,3.15,3.58,9.0,86,5800,27,33,10295,-0.3993455291940258
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4.0,110.0,mpfi,3.15,3.58,9.0,101,5800,24,28,12945,-0.3993455291940258
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4.0,110.0,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,-0.3993455291940258
isuzu,gas,std,four,sedan,rwd,front,94.3,170.70,61.80,53.5,2337,ohc,4.0,111.0,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,-0.0438296421360711
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.60,65.2,51.4,2734,ohc,4.0,119.0,spfi,3.43,3.23,9.2,90,5000,24,29,11048,-0.09562265375148371
jaguar,gas,std,four,sedan,rwd,front,113.0,199.60,69.60,52.80,4066,dohc,6.0,258.0,mpfi,3.623441546203812,4.17,8.1,176,4750,15,19,32250,9.473903143468002e-15
jaguar,gas,std,four,sedan,rwd,front,113.0,199.60,69.60,52.80,4066,dohc,6.0,258.0,mpfi,3.623441546203812,4.17,8.1,176,4750,15,19,35550,9.473903143468002e-15
jaguar,gas,std,two,sedan,rwd,front,102.0,191.70,70.60,47.80,3950,ohcv,12.0,326.0,mpfi,3.54,2.7601961679784375,11.5,262,5000,13,17,36000,0.0
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,68,5000,30,31,5195,0.03641470524275903
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,68,5000,31,38,6095,0.03641470524275903
mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,68,5000,31,38,6795,0.03641470524275903
mazda,gas,std,four,sedan,fwd,front,93.1,166.80,64.2,54.1,1945,ohc,4.0,91.0,2bbl,3.03,3.15,9.0,68,5000,31,38,6695,0.03641470524275903
mazda,gas,std,four,sedan,fwd,front,93.1,166.80,64.2,54.1,1950,ohc,4.0,91.0,2bbl,3.08,3.15,9.0,68,5000,31,38,7395,-0.7193935823486903
mazda,gas,std,two,hatchback,fwd,front,98.80,177.80,66.5,53.70,2385,ohc,4.0,122.0,2bbl,3.39,3.39,5.296875,84,4800,26,32,8845,-0.09771365183557279
mazda,gas,std,four,sedan,fwd,front,98.80,177.80,66.5,55.5,2410,ohc,4.0,122.0,2bbl,3.39,3.39,5.296875,84,4800,26,32,8495,-0.09771365183557279
mazda,gas,std,two,hatchback,fwd,front,98.80,177.80,66.5,53.70,2385,ohc,4.0,122.0,2bbl,3.39,3.39,5.296875,84,4800,26,32,10595,-0.09771365183557279
mazda,gas,std,four,sedan,fwd,front,98.80,177.80,66.5,55.5,2410,ohc,4.0,122.0,2bbl,3.39,3.39,5.296875,84,4800,26,32,10245,-0.09771365183557279
mazda,gas,std,four,hatchback,fwd,front,98.80,177.80,66.5,55.5,2425,ohc,4.0,122.0,2bbl,3.39,3.39,5.296875,84,4800,26,32,11245,-0.09771365183557279
mazda,gas,std,four,sedan,rwd,front,104.90,175.0,66.1,54.4,2670,ohc,4.0,140.0,mpfi,3.7553078075787094,3.16,8.0,120,5000,19,27,18280,0.0
mazda,diesel,std,four,sedan,rwd,front,104.90,175.0,66.1,54.4,2700,ohc,4.0,134.0,idi,3.43,3.6254897830519557,22.0,72,4200,31,39,18344,0.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.90,70.3,56.5,3515,ohc,5.0,183.0,idi,3.58,3.6360106845375424,21.5,123,4350,22,25,25552,0.0
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.90,70.3,58.70,3750,ohc,5.0,183.0,idi,3.58,3.6360106845375424,21.5,123,4350,22,25,28248,0.0
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.70,187.5,70.3,54.90,3495,ohc,5.0,183.0,idi,3.58,3.6360106845375424,21.5,123,4350,22,25,28176,0.0
mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.60,202.60,71.70,56.3,3770,ohc,5.0,183.0,idi,3.58,3.6360106845375424,21.5,123,4350,22,25,31600,0.0
mercedes-benz,gas,std,four,sedan,rwd,front,115.60,202.60,71.70,56.5,3740,ohcv,8.0,234.0,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,0.10233477592043272
mercedes-benz,gas,std,two,convertible,rwd,front,96.60,180.3,70.5,50.80,3685,ohcv,8.0,234.0,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,0.10233477592043272
mercedes-benz,gas,std,four,sedan,rwd,front,120.90,208.1,71.70,56.70,3900,ohcv,8.0,308.0,mpfi,3.8252781567890057,3.35,8.0,184,4500,14,16,40960,0.0
mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,8.0,304.0,mpfi,3.8003575126376656,3.35,8.0,184,4500,14,16,45400,7.105427357601002e-15
mercury,gas,turbo,two,hatchback,rwd,front,102.70,178.4,68.0,54.80,2910,ohc,4.0,140.0,mpfi,3.7793036287791737,3.12,8.0,175,5000,19,24,16503,-7.105427357601002e-15
mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.3,64.4,50.80,1918,ohc,4.0,92.0,2bbl,3.01104825913787,3.23,9.4,68,5500,37,41,5389,0.0
mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.3,64.4,50.80,1944,ohc,4.0,92.0,2bbl,3.01104825913787,3.23,9.4,68,5500,31,38,6189,0.0
mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.3,64.4,50.80,2004,ohc,4.0,92.0,2bbl,3.01104825913787,3.23,9.4,68,5500,31,38,6669,0.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,93,157.3,63.80,50.80,2145,ohc,4.0,98.0,spdi,3.03,3.39,4.734375,102,5500,24,30,7689,0.05585582564220459
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,4.0,110.0,spdi,3.17,3.46,7.5,116,5500,23,30,9959,0.19233888959042034
mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,0.0031071250015948237
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.2,66.3,50.2,2833,ohc,4.0,156.0,spdi,3.58,3.8744376146711517,7.0,145,5000,19,24,12629,0.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.2,66.3,50.2,2921,ohc,4.0,156.0,spdi,3.59,3.8528830661363083,7.0,145,5000,19,24,14869,0.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.2,66.3,50.2,2926,ohc,4.0,156.0,spdi,3.59,3.8528830661363083,7.0,145,5000,19,24,14489,0.0
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.60,2365,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,0.0031071250015948237
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.60,2405,ohc,4.0,122.0,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,0.0031071250015948237
mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.60,2403,ohc,4.0,110.0,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0.19233888959042034
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.60,2403,ohc,4.0,110.0,spdi,3.17,3.46,7.5,116,5500,23,30,9279,0.19233888959042034
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.80,54.5,1889,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,-1.389342679063784
nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.80,54.5,2017,ohc,4.0,103.0,idi,3.0738235854183147,3.4699999999999998,4.802849352216117,55,4800,45,50,7099,0.0
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.80,54.5,1918,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,-1.389342679063784
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.80,54.5,1938,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,-1.389342679063784
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.80,53.5,2024,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,-1.389342679063784
nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.80,54.5,1951,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,-1.389342679063784
nissan,gas,std,two,hatchback,fwd,front,94.5,165.60,63.80,53.3,2028,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,-1.389342679063784
nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.80,54.5,1971,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,-1.389342679063784
nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.80,53.5,2037,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,-1.389342679063784
nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.80,53.3,2008,ohc,4.0,97.0,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,-1.389342679063784
nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.70,2324,ohc,4.0,120.0,2bbl,3.33,3.4699999999999998,8.5,97,5200,27,34,8949,-0.22092987851993584
nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.70,2302,ohc,4.0,120.0,2bbl,3.33,3.4699999999999998,8.5,97,5200,27,34,9549,-0.22092987851993584
nissan,gas,std,four,sedan,fwd,front,100.4,181.70,66.5,55.1,3095,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,152,5200,17,22,13499,-0.04856122118700531
nissan,gas,std,four,wagon,fwd,front,100.4,184.60,66.5,56.1,3296,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,-0.04856122118700531
nissan,gas,std,four,sedan,fwd,front,100.4,184.60,66.5,55.1,3060,ohcv,6.0,181.0,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,-0.04856122118700531
